Date,Lunar_Longitude
1950-001,0.0
1950-002,12.19
1950-003,24.38
1950-004,36.57
1950-005,48.76
1950-006,60.95
1950-007,73.15
1950-008,85.34
1950-009,97.53
1950-010,109.72
1950-011,121.91
1950-012,134.1
1950-013,146.29
1950-014,158.48
1950-015,170.67
1950-016,182.86
1950-017,195.06
1950-018,207.25
1950-019,219.44
1950-020,231.63
1950-021,243.82
1950-022,256.01
1950-023,268.2
1950-024,280.39
1950-025,292.58
1950-026,304.77
1950-027,316.97
1950-028,329.16
1950-029,341.35
1950-030,353.54
1950-031,5.73
1950-032,17.92
1950-033,30.11
1950-034,42.3
1950-035,54.49
1950-036,66.68
1950-037,78.88
1950-038,91.07
1950-039,103.26
1950-040,115.45
1950-041,127.64
1950-042,139.83
1950-043,152.02
1950-044,164.21
1950-045,176.4
1950-046,188.59
1950-047,200.79
1950-048,212.98
1950-049,225.17
1950-050,237.36
1950-051,249.55
1950-052,261.74
1950-053,273.93
1950-054,286.12
1950-055,298.31
1950-056,310.5
1950-057,322.7
1950-058,334.89
1950-059,347.08
1950-060,359.27
1950-061,11.46
1950-062,23.65
1950-063,35.84
1950-064,48.03
1950-065,60.22
1950-066,72.41
1950-067,84.61
1950-068,96.8
1950-069,108.99
1950-070,121.18
1950-071,133.37
1950-072,145.56
1950-073,157.75
1950-074,169.94
1950-075,182.13
1950-076,194.32
1950-077,206.52
1950-078,218.71
1950-079,230.9
1950-080,243.09
1950-081,255.28
1950-082,267.47
1950-083,279.66
1950-084,291.85
1950-085,304.04
1950-086,316.23
1950-087,328.43
1950-088,340.62
1950-089,352.81
1950-090,5.0
1950-091,17.19
1950-092,29.38
1950-093,41.57
1950-094,53.76
1950-095,65.95
1950-096,78.14
1950-097,90.34
1950-098,102.53
1950-099,114.72
1950-100,126.91
1950-101,139.1
1950-102,151.29
1950-103,163.48
1950-104,175.67
1950-105,187.86
1950-106,200.05
1950-107,212.25
1950-108,224.44
1950-109,236.63
1950-110,248.82
1950-111,261.01
1950-112,273.2
1950-113,285.39
1950-114,297.58
1950-115,309.77
1950-116,321.96
1950-117,334.16
1950-118,346.35
1950-119,358.54
1950-120,10.73
1950-121,22.92
1950-122,35.11
1950-123,47.3
1950-124,59.49
1950-125,71.68
1950-126,83.87
1950-127,96.07
1950-128,108.26
1950-129,120.45
1950-130,132.64
1950-131,144.83
1950-132,157.02
1950-133,169.21
1950-134,181.4
1950-135,193.59
1950-136,205.78
1950-137,217.97
1950-138,230.17
1950-139,242.36
1950-140,254.55
1950-141,266.74
1950-142,278.93
1950-143,291.12
1950-144,303.31
1950-145,315.5
1950-146,327.69
1950-147,339.88
1950-148,352.08
1950-149,4.27
1950-150,16.46
1950-151,28.65
1950-152,40.84
1950-153,53.03
1950-154,65.22
1950-155,77.41
1950-156,89.6
1950-157,101.79
1950-158,113.99
1950-159,126.18
1950-160,138.37
1950-161,150.56
1950-162,162.75
