Date,Solar_Longitude
1950-001,0.0
1950-002,0.99
1950-003,1.97
1950-004,2.96
1950-005,3.95
1950-006,4.93
1950-007,5.92
1950-008,6.9
1950-009,7.89
1950-010,8.88
1950-011,9.86
1950-012,10.85
1950-013,11.84
1950-014,12.82
1950-015,13.81
1950-016,14.79
1950-017,15.78
1950-018,16.77
1950-019,17.75
1950-020,18.74
1950-021,19.73
1950-022,20.71
1950-023,21.7
1950-024,22.68
1950-025,23.67
1950-026,24.66
1950-027,25.64
1950-028,26.63
1950-029,27.62
1950-030,28.6
1950-031,29.59
1950-032,30.58
1950-033,31.56
1950-034,32.55
1950-035,33.53
1950-036,34.52
1950-037,35.51
1950-038,36.49
1950-039,37.48
1950-040,38.47
1950-041,39.45
1950-042,40.44
1950-043,41.42
1950-044,42.41
1950-045,43.4
1950-046,44.38
1950-047,45.37
1950-048,46.36
1950-049,47.34
1950-050,48.33
1950-051,49.32
1950-052,50.3
1950-053,51.29
1950-054,52.27
1950-055,53.26
1950-056,54.25
1950-057,55.23
1950-058,56.22
1950-059,57.21
1950-060,58.19
1950-061,59.18
1950-062,60.16
1950-063,61.15
1950-064,62.14
1950-065,63.12
1950-066,64.11
1950-067,65.1
1950-068,66.08
1950-069,67.07
1950-070,68.05
1950-071,69.04
1950-072,70.03
1950-073,71.01
1950-074,72.0
1950-075,72.99
1950-076,73.97
1950-077,74.96
1950-078,75.95
1950-079,76.93
1950-080,77.92
1950-081,78.9
1950-082,79.89
1950-083,80.88
1950-084,81.86
1950-085,82.85
1950-086,83.84
1950-087,84.82
1950-088,85.81
1950-089,86.79
1950-090,87.78
1950-091,88.77
1950-092,89.75
1950-093,90.74
1950-094,91.73
1950-095,92.71
1950-096,93.7
1950-097,94.68
1950-098,95.67
1950-099,96.66
1950-100,97.64
1950-101,98.63
1950-102,99.62
1950-103,100.6
1950-104,101.59
1950-105,102.58
1950-106,103.56
1950-107,104.55
1950-108,105.53
1950-109,106.52
1950-110,107.51
1950-111,108.49
1950-112,109.48
1950-113,110.47
1950-114,111.45
1950-115,112.44
1950-116,113.42
1950-117,114.41
1950-118,115.4
1950-119,116.38
1950-120,117.37
1950-121,118.36
1950-122,119.34
1950-123,120.33
1950-124,121.32
1950-125,122.3
1950-126,123.29
1950-127,124.27
1950-128,125.26
1950-129,126.25
1950-130,127.23
1950-131,128.22
1950-132,129.21
1950-133,130.19
1950-134,131.18
1950-135,132.16
1950-136,133.15
1950-137,134.14
1950-138,135.12
1950-139,136.11
1950-140,137.1
1950-141,138.08
1950-142,139.07
1950-143,140.05
1950-144,141.04
1950-145,142.03
1950-146,143.01
1950-147,144.0
1950-148,144.99
1950-149,145.97
1950-150,146.96
1950-151,147.95
1950-152,148.93
1950-153,149.92
1950-154,150.9
1950-155,151.89
1950-156,152.88
1950-157,153.86
1950-158,154.85
1950-159,155.84
1950-160,156.82
1950-161,157.81
1950-162,158.79
1950-163,159.78
